iter	Passed	Remaining
0	39	11796
1	80	11977
2	115	11427
3	153	11326
4	190	11263
5	227	11144
6	264	11079
7	300	10982
8	338	10952
9	376	10907
10	424	11145
11	463	11130
12	501	11078
13	541	11066
14	578	10990
15	615	10918
16	653	10871
17	690	10812
18	728	10772
19	765	10710
20	803	10675
21	841	10636
22	879	10596
23	917	10556
24	956	10517
25	993	10468
26	1030	10421
27	1067	10372
28	1104	10319
29	1139	10254
30	1176	10210
31	1214	10171
32	1251	10122
33	1288	10083
34	1325	10037
35	1362	9991
36	1401	9961
37	1441	9936
38	1479	9902
39	1523	9903
40	1563	9877
41	1605	9862
42	1645	9837
43	1694	9856
44	1739	9859
45	1781	9837
46	1828	9843
47	1873	9834
48	1919	9834
49	1967	9835
50	2009	9809
51	2058	9818
52	2101	9795
53	2141	9753
54	2180	9713
55	2224	9692
56	2270	9677
57	2316	9663
58	2360	9641
59	2404	9617
60	2444	9575
61	2486	9544
62	2527	9509
63	2570	9480
64	2611	9443
65	2654	9411
66	2698	9383
67	2739	9347
68	2783	9318
69	2824	9280
70	2870	9259
71	2927	9269
72	2977	9259
73	3020	9223
74	3065	9196
75	3111	9169
76	3209	9294
77	3285	9350
78	3341	9346
79	3384	9308
80	3428	9268
81	3469	9225
82	3510	9178
83	3552	9134
84	3598	9100
85	3636	9047
86	3682	9015
87	3723	8971
88	3768	8934
89	3813	8898
90	3856	8856
91	3898	8813
92	3939	8768
93	3984	8732
94	4036	8710
95	4084	8680
96	4135	8654
97	4185	8627
98	4247	8624
99	4320	8640
100	4385	8640
101	4443	8625
102	4504	8615
103	4570	8613
104	4618	8576
105	4666	8540
106	4703	8484
107	4741	8429
108	4779	8374
109	4819	8323
110	4856	8268
111	4894	8215
112	4931	8160
113	4969	8107
114	5004	8051
115	5041	7997
116	5082	7949
117	5121	7899
118	5158	7846
119	5194	7791
120	5231	7738
121	5267	7686
122	5304	7633
123	5341	7581
124	5378	7529
125	5416	7479
126	5454	7430
127	5491	7379
128	5527	7327
129	5564	7276
130	5602	7227
131	5640	7179
132	5680	7132
133	5716	7081
134	5755	7034
135	5791	6984
136	5831	6937
137	5869	6890
138	5905	6839
139	5941	6790
140	5976	6739
141	6014	6692
142	6053	6646
143	6091	6599
144	6129	6552
145	6166	6504
146	6203	6456
147	6238	6407
148	6276	6360
149	6314	6314
150	6353	6269
151	6389	6221
152	6426	6174
153	6462	6126
154	6498	6079
155	6534	6031
156	6569	5983
157	6606	5937
158	6643	5891
159	6687	5851
160	6723	5804
161	6761	5759
162	6802	5717
163	6842	5673
164	6878	5628
165	6923	5588
166	6966	5548
167	7013	5510
168	7052	5466
169	7090	5422
170	7130	5379
171	7171	5336
172	7210	5293
173	7251	5251
174	7288	5206
175	7324	5160
176	7364	5117
177	7402	5073
178	7440	5029
179	7478	4985
180	7516	4941
181	7555	4898
182	7593	4854
183	7633	4812
184	7676	4771
185	7716	4729
186	7754	4685
187	7795	4644
188	7833	4600
189	7875	4559
190	7915	4517
191	7954	4474
192	7994	4431
193	8039	4392
194	8078	4349
195	8116	4306
196	8153	4263
197	8195	4222
198	8247	4186
199	8299	4149
200	8351	4113
201	8418	4084
202	8473	4049
203	8519	4008
204	8565	3969
205	8604	3926
206	8645	3884
207	8684	3841
208	8723	3798
209	8762	3755
210	8800	3712
211	8839	3669
212	8877	3626
213	8914	3582
214	8952	3539
215	8989	3496
216	9031	3454
217	9070	3411
218	9109	3369
219	9149	3326
220	9186	3283
221	9224	3241
222	9262	3198
223	9301	3155
224	9338	3112
225	9378	3070
226	9418	3028
227	9456	2986
228	9495	2944
229	9533	2901
230	9574	2859
231	9612	2817
232	9651	2775
233	9687	2732
234	9726	2690
235	9764	2647
236	9803	2605
237	9842	2563
238	9878	2521
239	9918	2479
240	9958	2438
241	10001	2396
242	10040	2355
243	10083	2314
244	10124	2272
245	10161	2230
246	10198	2188
247	10235	2146
248	10276	2104
249	10313	2062
250	10351	2020
251	10390	1979
252	10431	1937
253	10473	1896
254	10514	1855
255	10553	1813
256	10593	1772
257	10633	1731
258	10672	1689
259	10712	1648
260	10754	1607
261	10793	1565
262	10833	1524
263	10872	1482
264	10912	1441
265	10951	1399
266	10990	1358
267	11097	1325
268	11164	1286
269	11260	1251
270	11322	1211
271	11365	1169
272	11406	1128
273	11444	1086
274	11485	1044
275	11524	1002
276	11562	960
277	11610	918
278	11660	877
279	11711	836
280	11765	795
281	11806	753
282	11850	711
283	11890	669
284	11933	628
285	11973	586
286	12016	544
287	12059	502
288	12100	460
289	12136	418
290	12175	376
291	12216	334
292	12255	292
293	12294	250
294	12336	209
295	12375	167
296	12415	125
297	12453	83
298	12492	41
299	12533	0
